1ST CHOICE MAYOR MINNEAPOLIS,2ND CHOICE MAYOR MINNEAPOLIS,3RD CHOICE MAYOR MINNEAPOLIS
JACKIE CHERRYHOMES,BETSY HODGES,JAMES EVERETT
BETSY HODGES,DON SAMUELS,MARK ANDREW
JACKIE CHERRYHOMES,DON SAMUELS,GREGG A. IVERSON
DAN COHEN,undervote,undervote
BETSY HODGES,undervote,undervote
CAM WINTON,CHRISTOPHER CLARK,OLE SAVIOR
CAM WINTON,DAN COHEN,MARK ANDREW
CAM WINTON,BOB FINE,MARK ANDREW
BETSY HODGES,MARK ANDREW,JACKIE CHERRYHOMES
MARK ANDREW,DON SAMUELS,STEPHANIE WOODRUFF
BETSY HODGES,DON SAMUELS,JACKIE CHERRYHOMES
BETSY HODGES,DON SAMUELS,STEPHANIE WOODRUFF
BETSY HODGES,STEPHANIE WOODRUFF,CAM WINTON
BETSY HODGES,MARK ANDREW,DON SAMUELS
MARK ANDREW,JEFFREY ALAN WAGNER,ALICIA K. BENNETT
MARK ANDREW,BETSY HODGES,JACKIE CHERRYHOMES
MARK V ANDERSON,MARK ANDREW,CHRISTOPHER ROBIN ZIMMERMAN
CAM WINTON,STEPHANIE WOODRUFF,JACKIE CHERRYHOMES
MIKE GOULD,JEFFREY ALAN WAGNER,MARK ANDREW
BETSY HODGES,STEPHANIE WOODRUFF,DON SAMUELS
BETSY HODGES,JACKIE CHERRYHOMES,MARK ANDREW
MARK ANDREW,DON SAMUELS,undervote
MARK ANDREW,undervote,undervote
MARK ANDREW,BETSY HODGES,undervote
JAYMIE KELLY,undervote,undervote
BETSY HODGES,BOB FINE,undervote
MARK ANDREW,BETSY HODGES,JACKIE CHERRYHOMES
BETSY HODGES,DON SAMUELS,BOB FINE
DON SAMUELS,MARK ANDREW,BETSY HODGES
BOB FINE,MARK ANDREW,OLE SAVIOR
JACKIE CHERRYHOMES,DON SAMUELS,undervote
MARK ANDREW,DON SAMUELS,BETSY HODGES
CAM WINTON,JACKIE CHERRYHOMES,DOUG MANN
DON SAMUELS,undervote,undervote
BETSY HODGES,MARK ANDREW,TONY LANE
BETSY HODGES,DON SAMUELS,MARK ANDREW
MARK ANDREW,undervote,undervote
MARK ANDREW,BETSY HODGES,DON SAMUELS
MARK ANDREW,BETSY HODGES,JACKIE CHERRYHOMES
CAM WINTON,DAN COHEN,undervote
BETSY HODGES,JACKIE CHERRYHOMES,CAPTAIN JACK SPARROW
BETSY HODGES,DON SAMUELS,MARK ANDREW
BETSY HODGES,BOB FINE,JOSHUA REA
DON SAMUELS,BETSY HODGES,JACKIE CHERRYHOMES
BETSY HODGES,DAN COHEN,DON SAMUELS
BETSY HODGES,MARK ANDREW,DON SAMUELS
MARK ANDREW,undervote,undervote
MARK ANDREW,undervote,undervote
JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW
BETSY HODGES,DON SAMUELS,MARK ANDREW
CAM WINTON,undervote,undervote
BETSY HODGES,MARK ANDREW,undervote
BETSY HODGES,MARK ANDREW,DON SAMUELS
MARK ANDREW,DON SAMUELS,JACKIE CHERRYHOMES
BETSY HODGES,MARK ANDREW,DON SAMUELS
BOB FINE,CAM WINTON,DAN COHEN
JACKIE CHERRYHOMES,MARK V ANDERSON,DON SAMUELS
DON SAMUELS,BOB FINE,BETSY HODGES
BETSY HODGES,undervote,undervote
MARK ANDREW,undervote,undervote
JACKIE CHERRYHOMES,MARK V ANDERSON,BETSY HODGES
MARK ANDREW,BETSY HODGES,BOB FINE
DON SAMUELS,JACKIE CHERRYHOMES,MARK ANDREW
BETSY HODGES,DON SAMUELS,BOB FINE
BETSY HODGES,MARK ANDREW,JACKIE CHERRYHOMES
